Warehouse size, Number of robots, Time (s), Solution found
8x8, 3, 0.4660, True
8x8, 5, 1.2401, True
8x8, 7, 2.0297, True
8x8, 10, 4.0006, True
8x8, 12, 5.6970, True
8x8, 15, 8.7344, True
8x8, 18, 12.4127, True
8x8, 20, 15.0715, True
10x10, 3, 0.9426, True
10x10, 5, 2.8029, True
10x10, 7, 4.7205, True
10x10, 10, 9.3548, True
10x10, 12, 13.1816, True
10x10, 15, 19.9720, True
10x10, 18, 27.9232, True
10x10, 20, 35.0850, True
12x12, 3, 2.1472, True
12x12, 5, 5.4245, True
12x12, 7, 9.6509, True
12x12, 10, 18.6617, True
12x12, 12, 25.9032, True
12x12, 15, 40.4354, True
12x12, 18, 7.6414, False
12x12, 20, 67.9306, True
14x14, 3, 3.7528, True
14x14, 5, 2.4746, False
14x14, 7, 3.3886, False
14x14, 10, 32.8792, True
14x14, 12, 6.6363, False
14x14, 15, 8.6971, False
14x14, 18, 101.3502, True
14x14, 20, 13.3293, False
16x16, 3, 5.8186, True
16x16, 5, 3.7977, False
16x16, 7, 28.3306, True
16x16, 10, 56.6125, True
16x16, 12, 10.3396, False
16x16, 15, 12.9960, False